Order ID,Start Location,End Location,Distance (km),Urgency,Transportation Method,Transportation Cost ($),Fuel Efficiency (km/l),Emissions (gCO2/km)
ORD1000,"Los Angeles, US","New York City, US",2573,Medium,Train,77.19,0.4368552953702106,181.96620668935407
ORD1001,"New York City, US","Los Angeles, US",1597,Medium,Plane,47.91,0.16084409971148483,383.2491468880006
ORD1002,"London, UK","Los Angeles, US",2377,High,Train,118.85000000000001,0.40275649126363255,363.0074329264229
ORD1003,"Paris, FR","Paris, FR",4104,Low,Plane,82.08,0.4159242199046149,307.73990195412347
ORD1004,"Tokyo, JP","Cairo, EG",3585,High,Train,179.25,0.250280516030991,458.93175234737623
ORD1005,"Paris, FR","Tokyo, JP",1269,Low,Ship,25.38,0.46878629995583665,290.10232011678204
ORD1006,"Cairo, EG","New York City, US",2191,High,Plane,109.55000000000001,0.3323585120840675,337.5620103538507
ORD1007,"New York City, US","New York City, US",4949,Low,Plane,98.98,0.3982628564636217,92.89302949837732
ORD1008,"Cairo, EG","Los Angeles, US",147,Medium,Plane,4.41,0.3845320827725014,177.69516184482228
ORD1009,"London, UK","New York City, US",3921,Low,Plane,78.42,0.12489143007435165,249.32813012626534
ORD1010,"Tokyo, JP","Paris, FR",4078,Low,Ship,81.56,0.15533994566240106,381.84759268976273
ORD1011,"New York City, US","New York City, US",2860,Low,Train,57.2,0.18557615863999974,241.2160271706212
ORD1012,"New York City, US","Tokyo, JP",2199,High,Plane,109.95,0.17798453253310287,484.3541252972736
ORD1013,"Cairo, EG","Tokyo, JP",1033,Low,Plane,20.66,0.29054854790509677,381.8623324641734
ORD1014,"London, UK","New York City, US",4369,Low,Ship,87.38,0.41743295408487313,87.72654447409471
ORD1015,"Los Angeles, US","Paris, FR",1233,Medium,Plane,36.99,0.3328784655819358,453.69323413598147
ORD1016,"London, UK","Paris, FR",4323,Medium,Ship,129.69,0.22869214172779115,315.0574363041353
ORD1017,"Los Angeles, US","Tokyo, JP",535,High,Train,26.75,0.16272563393477707,397.12871351164983
ORD1018,"Cairo, EG","Los Angeles, US",4735,Low,Train,94.7,0.24500783611455,129.82904023548159
ORD1019,"Tokyo, JP","London, UK",2510,High,Plane,125.5,0.21091092958115298,303.25105138023144
ORD1020,"Cairo, EG","Paris, FR",4496,Low,Plane,89.92,0.2162643451007607,169.84349119827345
ORD1021,"New York City, US","New York City, US",449,Medium,Ship,13.469999999999999,0.4678426325646152,481.46915532200677
ORD1022,"Tokyo, JP","Los Angeles, US",1224,High,Train,61.2,0.4014617851413522,154.92363980707972
ORD1023,"Paris, FR","Paris, FR",4778,High,Ship,238.9,0.4188724699003843,258.1018626830987
ORD1024,"Cairo, EG","Paris, FR",3163,High,Train,158.15,0.30464840860229303,220.65982314846596
ORD1025,"Cairo, EG","Los Angeles, US",3175,Low,Plane,63.5,0.45002045418083214,273.19039703154056
ORD1026,"London, UK","London, UK",2625,Medium,Ship,78.75,0.183856667427443,248.33410703247625
ORD1027,"Tokyo, JP","Los Angeles, US",3513,Low,Plane,70.26,0.46822253053298957,163.1392201733467
ORD1028,"Cairo, EG","Los Angeles, US",2307,High,Plane,115.35000000000001,0.4972897101171442,85.13943030068518
ORD1029,"Los Angeles, US","Los Angeles, US",558,Medium,Plane,16.74,0.4725062732511449,192.03572117552034
ORD1030,"Cairo, EG","New York City, US",4392,Low,Train,87.84,0.3164623470558958,261.830023330829
ORD1031,"New York City, US","Cairo, EG",1803,Medium,Train,54.089999999999996,0.40273862117137194,291.8462695528266
ORD1032,"Paris, FR","Los Angeles, US",1375,Low,Ship,27.5,0.34376288395388654,72.97210315944051
ORD1033,"Cairo, EG","Los Angeles, US",4272,Low,Train,85.44,0.36862592418713225,356.5931971199701
ORD1034,"Tokyo, JP","Los Angeles, US",674,High,Train,33.7,0.2958371875682385,466.347540610474
ORD1035,"Cairo, EG","Paris, FR",2696,Medium,Ship,80.88,0.40354181429368696,140.29308450573276
ORD1036,"Cairo, EG","Los Angeles, US",1379,Medium,Train,41.37,0.42332594334421525,113.39695334108427
ORD1037,"New York City, US","Los Angeles, US",4253,Medium,Train,127.58999999999999,0.261777532332909,226.89564400631824
ORD1038,"Los Angeles, US","Paris, FR",4428,Medium,Ship,132.84,0.20305568266544555,187.8135244477824
ORD1039,"Los Angeles, US","Paris, FR",3489,Low,Train,69.78,0.42934121200946507,99.46075811728409
ORD1040,"Paris, FR","Cairo, EG",3953,High,Ship,197.65,0.2897341797594791,212.8032049257297
ORD1041,"New York City, US","Cairo, EG",2159,Low,Ship,43.18,0.3894944668018253,497.5288733054604
ORD1042,"New York City, US","Tokyo, JP",2769,Medium,Train,83.07,0.23454384039442264,131.14519512052505
ORD1043,"Paris, FR","Los Angeles, US",259,High,Train,12.950000000000001,0.42855660966087183,434.4363467238238
ORD1044,"New York City, US","London, UK",3543,Low,Plane,70.86,0.3961593525714707,92.62993855260913
ORD1045,"Tokyo, JP","Tokyo, JP",3412,Low,Train,68.24,0.4179679933241328,414.60620269857094
ORD1046,"Tokyo, JP","London, UK",4014,Low,Train,80.28,0.37808395912031334,309.23552656413415
ORD1047,"London, UK","Tokyo, JP",3023,Medium,Plane,90.69,0.11699365731608463,187.41295785009487
ORD1048,"Los Angeles, US","Tokyo, JP",4104,Medium,Train,123.11999999999999,0.4685305424918672,74.02566396188229
ORD1049,"New York City, US","Tokyo, JP",471,High,Ship,23.55,0.12662564507592303,86.19618666365615
ORD1050,"Los Angeles, US","London, UK",2286,Medium,Ship,68.58,0.34911622560228217,317.40764928993457
ORD1051,"Tokyo, JP","New York City, US",4442,Medium,Train,133.26,0.1993151619652787,94.89141685489753
ORD1052,"London, UK","London, UK",4118,High,Ship,205.9,0.11493016880269176,413.40635470361207
ORD1053,"New York City, US","Los Angeles, US",3437,High,Ship,171.85000000000002,0.3809814431074423,390.2421578252045
ORD1054,"Paris, FR","London, UK",642,High,Ship,32.1,0.32512017205854177,122.188834221266
ORD1055,"Paris, FR","Tokyo, JP",2109,High,Ship,105.45,0.32348742692924454,227.10834974440783
ORD1056,"New York City, US","London, UK",2816,Low,Train,56.32,0.4855571357918026,50.38700613818425
ORD1057,"New York City, US","Los Angeles, US",2051,Low,Train,41.02,0.13180334092900253,423.9300850179783
ORD1058,"Tokyo, JP","London, UK",3238,High,Train,161.9,0.4114138855317526,177.29186479033967
ORD1059,"Tokyo, JP","New York City, US",4253,Low,Plane,85.06,0.3907488032347429,274.07069079041844
ORD1060,"London, UK","London, UK",1036,Low,Plane,20.72,0.37241404735730554,109.43083710965908
ORD1061,"Los Angeles, US","New York City, US",3483,Medium,Plane,104.49,0.1533282919481284,358.6740349124484
ORD1062,"Paris, FR","London, UK",882,High,Train,44.1,0.36447565734135257,300.5044798447068
ORD1063,"Paris, FR","New York City, US",3577,Low,Ship,71.54,0.4337562379678508,393.8936660419857
ORD1064,"Cairo, EG","Paris, FR",3721,Medium,Train,111.63,0.4338361405436859,293.377373381551
ORD1065,"Paris, FR","Los Angeles, US",503,High,Ship,25.150000000000002,0.20582136548283306,376.9005980736362
ORD1066,"Cairo, EG","Cairo, EG",871,High,Train,43.550000000000004,0.4703861879863156,406.2101159889649
ORD1067,"Tokyo, JP","London, UK",2947,Medium,Ship,88.41,0.2891739330980009,245.827349771172
ORD1068,"New York City, US","Cairo, EG",3849,Low,Plane,76.98,0.16665008199177392,376.056397107054
ORD1069,"Tokyo, JP","Paris, FR",4413,Low,Ship,88.26,0.47299576639722496,209.9772467124129
ORD1070,"Paris, FR","New York City, US",2807,Low,Train,56.14,0.3745007700703812,349.0801876194038
ORD1071,"Los Angeles, US","London, UK",4369,Medium,Ship,131.07,0.46054690519491903,86.80246942960528
ORD1072,"New York City, US","London, UK",1618,Medium,Ship,48.54,0.49157955991099156,193.70853833043356
ORD1073,"Cairo, EG","Los Angeles, US",2481,High,Train,124.05000000000001,0.45510797990776974,482.9849609901377
ORD1074,"Tokyo, JP","London, UK",2497,Medium,Ship,74.91,0.2765686601432682,203.46768918978688
ORD1075,"New York City, US","Cairo, EG",4856,High,Ship,242.8,0.2789506642868079,326.31793957181503
ORD1076,"New York City, US","Paris, FR",4020,Medium,Ship,120.6,0.4795287044663671,112.89929007762137
ORD1077,"Los Angeles, US","Cairo, EG",3222,High,Ship,161.10000000000002,0.4702030980295967,197.4556008311653
ORD1078,"New York City, US","London, UK",694,Low,Ship,13.88,0.19549889019264152,406.0560389873227
ORD1079,"New York City, US","London, UK",809,High,Train,40.45,0.19376890268257285,82.88356498874349
ORD1080,"Los Angeles, US","London, UK",913,Low,Plane,18.26,0.3664876685718046,421.3298775229492
